plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII,T_e_SII_OII,N_e_SII_OII,T_e_SII_OIII,N_e_SII_OIII,T_e_OII_OIII,N_e_OII_OIII,T_e_SII_NII,N_e_SII_NII,T_e_OII_NII,N_e_OII_NII
273,GALAXY,278,51957,0.08880808,157.52237,-0.48283647,1237648720683991365,28.35347,121.7824,28.60206,28.73591,6.717407,10.76487,18.02239,16.59889,25.39569,33.47562,100.9702,0.6536105142250517,0.9953420650329153,2.6829385207714824,3.0162309167089365,9994.82514637292,969.2908137653473,29999.999999999996,999999.9999999999,29999.999999999996,999999.9999999998,29999.999872013846,138401.6735346615,29999.99999999998,138331.21796785912
273,GALAXY,301,51957,0.09577663,156.62603,-0.25149121,1237651800700158083,39.03047,181.9629,25.56972,23.36709,1.43663,1.052199,10.09106,35.76815,18.70582,21.93425,66.15878,1.9121401788320427,1.0942620583050777,7.02411894503108,3.0162316924444648,16732.608242327657,66.75377362878308,29999.999998775307,818089.7132520353,29999.999999999996,818141.0287442995,29999.999999999996,138061.3205845754,29999.999999999996,138312.2278623924
273,QSO,319,51957,0.218394,156.96728,-0.58232198,1237648720683794629,27.61646,123.0087,16.81772,16.22488,5.967283,24.34242,82.41479,5.08531,7.705901,29.42034,88.73853,0.659924128275201,1.0365389451262508,13.811108003424673,3.0162306078039887,9992.470709710591,875.5484445123901,29999.999999999996,271197.6403245319,29999.999999837644,271188.7980044178,29999.999999999996,138399.98338633348,29999.999999999996,138323.3474304859
273,QSO,321,51957,0.2849086,156.98791,0.90193089,1237654671349252248,80.27464,332.3628,49.63776,16.21826,17.48749,69.8684,251.0029,3.974093,13.5245,26.31485,79.37166,0.2938439868387001,3.0606094611875747,14.353283404307879,3.016230759438112,29999.99994967529,1.000000136804588,14502.89849201686,999999.9998557959,29999.999999999996,250015.374114899,7810.438640031462,999999.9279047907,29999.999999999996,137936.05005492244
273,GALAXY,324,51957,0.09010641,156.78783,0.78547609,1237648722294341786,11.56387,75.91489,18.28033,10.35494,1.715286,11.85057,8.110715,22.85095,14.14998,16.15528,48.72807,1.6149104097673637,1.7653728558543074,4.7284913419686285,3.0162318449448104,29999.99999958556,1.0000000016944959,29999.99999999862,999999.9999999191,29999.999999997606,999999.9999998561,29999.999999999996,138141.6355783801,29999.99999999996,138183.74246661426
273,GALAXY,342,51957,0.09687928,156.55641,0.46765657,1237654670812184782,67.02151,261.7413,147.6182,134.1826,1.020999,73.817,235.2785,117.4903,88.65932,74.91976,225.9753,1.3251883727508853,1.1001292268893283,230.4395009201772,3.0162309649683876,9975.546912002805,221.54278935920593,10052.528362574636,155.65821887341383,10050.515986863396,263.13180672886403,29999.999999999996,138220.01259369243,29999.999999999996,138311.14856134544
273,GALAXY,345,51957,0.09914452,156.53509,0.59301574,1237651801773834392,16.04383,89.60651,14.7787,11.47314,3.279673,1.818737,6.176678,14.15182,8.012469,10.90181,32.88237,1.7662246181545291,1.2881129315950124,1.8833212945314977,3.016230332394346,24954.03447502854,27.827291063196405,29999.99999711951,999999.9998252544,29999.999995789847,999999.9997405331,29999.999999999975,138100.83261791765,29999.999999999996,138275.1925771605
273,GALAXY,349,51957,0.03392197,156.72126,0.14206635,1237651801237028909,459.0862,1713.062,359.8142,414.1891,6.628069,69.56799,217.2586,299.0884,220.2577,179.6319,541.8112,1.3579021300957923,0.8687196258906862,32.77856642711475,3.016230413417661,10021.072569175525,354.1261282865935,25309.447523437077,193.58712833742902,25251.743009360147,945.2938204262312,29999.999999999996,138211.20074389994,29999.999999999996,138355.49874757478
273,GALAXY,354,51957,0.254716,156.76641,0.063465615,1237654670275444806,71.73852,415.6538,21.88384,39.78144,3.377899,3.203842,13.85601,44.05773,41.65276,55.74623,168.1435,1.0577385508187211,0.5501017559947553,4.101961011859738,3.016230873370271,10024.369117950237,1045.2177380008588,29999.999995823353,999999.9997509577,29999.99999385743,999999.9996262487,29999.999999999996,138292.3443740606,29999.999999999996,138416.5024976408
273,GALAXY,361,51957,0.02852034,157.37536,1.0600268,1237648722831409199,510.9267,1994.137,537.8484,557.3326,8.611784,185.917,551.6336,343.0061,252.1735,139.2976,420.1538,1.360198831360155,0.9650402650051334,64.05567069494543,3.016231435430331,9998.087635272215,287.4464247435996,16583.518350768125,153.78275847784278,16567.652484348313,549.2662793782669,29999.999999999996,138210.51792238347,29999.999999999985,138336.98945708663
273,GALAXY,363,51957,0.08864196,157.33636,0.98956342,1237651752389771403,3.289653,19.66228,1.704991,12.11682,1.779678,5.78016,3.604021,8.695534,12.12714,4.187825,12.63145,0.7170308910427355,0.1407127447630649,2.0250972366911317,3.0162315760567835,9941.918509298386,9191.124734193196,29999.99999456243,999999.9996733362,29999.999992057124,999999.9995139717,29999.999999999996,138384.47200560293,7810.438155865674,999999.9999918889
273,GALAXY,364,51957,0.09728704,157.34826,1.1629616,1237648722831409299,42.29914,135.596,43.2293,65.78917,0.3482963,9.440677,21.67616,32.16797,21.70437,12.69839,38.30127,1.4820964626017707,0.6570883931200227,62.23482707108861,3.0162304040118473,10072.778200818511,437.26462026671385,16837.267850255885,17.515828742901586,16768.077940620267,1709.643773946768,29999.999999999996,138177.6246985659,29999.999999999996,138396.03587146915
273,GALAXY,374,51957,0.05115105,157.39456,0.80530713,1237648722294603919,20.30684,86.39567,44.29399,33.36925,6.323778,14.41794,44.14038,28.11915,19.26173,25.11832,75.76264,1.4598455071273453,1.3273894378806836,6.980064765081886,3.0162303848346546,13626.277722302395,81.89167832986854,29999.981647855548,825222.0459251135,29999.942734758686,825240.7205257295,29999.999999999993,138183.6414997598,29999.99999999999,138267.6698085661
273,GALAXY,378,51957,0.3186841,157.35038,0.74014558,1237648722294538940,8.987803,41.46626,15.56803,4.431254,0.655965,5.291702,27.18788,7.998914,35.91422,0.04628462,0.1396051,0.22272275438531033,3.513233500043103,41.447150381499014,3.016230877557167,29999.999999353357,1.0000000013362584,10355.653954515692,693664.083668534,21364.05358222904,1.0000000000000093,7810.435368544451,999999.9999999593,29999.999999999964,137849.52486614004
273,GALAXY,385,51957,0.09638181,157.46493,0.5007956,1237654670812578105,28.35634,135.2097,22.19829,23.12377,1.041152,13.33632,25.98506,29.66329,19.66015,11.84606,35.73045,1.5088028321248819,0.9599771144584123,24.957988843127612,3.0162307129965575,10006.612069069344,224.7143873511334,29999.999999999996,22211.788594532463,29999.999999999996,22439.451033392623,29999.99999999987,138170.38691252517,29999.999999999967,138338.00308128225
273,GALAXY,386,51957,0.03501128,157.444,0.1455754,1237651801237356677,95.97726,310.1799,140.4766,170.923,1.053435,43.24318,124.0324,63.25395,44.39665,18.49909,55.79752,1.4247460112418393,0.8218706669084909,117.74091424720083,3.016230528096247,10047.30570112234,349.8186441126094,12662.916507971333,67.5792844378774,12643.795416498493,788.0365789800804,29999.999999999993,138193.1218564508,29999.999999999996,138364.4647883268
273,GALAXY,388,51957,0.1470157,157.44635,0.45089975,1237654670812577877,-20.36734,42.06163,27.68522,14.59628,2.561002,4.736308,12.17098,11.92705,3.672428,6.13048,18.49094,3.247728750570467,1.896731221927779,4.752428932113291,3.016230376740483,29999.999999920245,1.0000000001353249,29999.999999997635,999999.9999998604,29999.9999999961,999999.9999997658,29999.999999999996,137700.8101379122,29999.999999999996,138158.6930374803
273,GALAXY,398,51957,0.09461677,157.21948,0.45718266,1237654670812512407,34.86955,180.7964,2.757463,53.14936,8.383387,2.22502,12.70784,37.68548,28.67452,31.92731,96.30013,1.3142497241453386,0.05188139612593642,1.5158360218847104,3.016230618865166,10163.086430716496,1568.5038850007934,29999.99999946377,999999.9999667298,29999.999999203996,999999.9999498662,29999.999999999996,138222.991278436,7810.436864840043,999999.837205611
273,GALAXY,402,51957,0.05075456,157.57832,1.2472466,1237648722831540344,142.1641,581.5748,134.6091,147.043,4.087618,22.36563,85.98173,116.8682,88.30135,51.62274,155.7061,1.3235154388919308,0.915440381385037,21.03467838726613,3.016230831606381,10084.045314089366,341.51724101044385,29999.999999999996,79762.49145719543,29999.999999999996,79792.59834188997,29999.999999999996,138220.47277086234,29999.999999999975,138346.5254059357
