,plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII
20,273,GALAXY,342,51957,0.09687928,156.55641,0.46765657,1237654670812184782,67.02151,261.7413,147.6182,134.1826,1.020999,73.817,235.2785,117.4903,88.65932,74.91976,225.9753,1.3251883727508853,1.1001292268893283,230.4395009201772,3.0162309649683876
21,273,GALAXY,345,51957,0.09914452,156.53509,0.59301574,1237651801773834392,16.04383,89.60651,14.7787,11.47314,3.279673,1.818737,6.176678,14.15182,8.012469,10.90181,32.88237,1.7662246181545291,1.2881129315950124,1.8833212945314977,3.016230332394346
22,273,GALAXY,349,51957,0.03392197,156.72126,0.14206635,1237651801237028909,459.0862,1713.062,359.8142,414.1891,6.628069,69.56799,217.2586,299.0884,220.2577,179.6319,541.8112,1.3579021300957923,0.8687196258906862,32.77856642711475,3.016230413417661
23,273,GALAXY,354,51957,0.254716,156.76641,0.063465615,1237654670275444806,71.73852,415.6538,21.88384,39.78144,3.377899,3.203842,13.85601,44.05773,41.65276,55.74623,168.1435,1.0577385508187211,0.5501017559947553,4.101961011859738,3.016230873370271
24,273,GALAXY,361,51957,0.02852034,157.37536,1.0600268,1237648722831409199,510.9267,1994.137,537.8484,557.3326,8.611784,185.917,551.6336,343.0061,252.1735,139.2976,420.1538,1.360198831360155,0.9650402650051334,64.05567069494543,3.016231435430331
25,273,GALAXY,363,51957,0.08864196,157.33636,0.98956342,1237651752389771403,3.289653,19.66228,1.704991,12.11682,1.779678,5.78016,3.604021,8.695534,12.12714,4.187825,12.63145,0.7170308910427355,0.1407127447630649,2.0250972366911317,3.0162315760567835
26,273,GALAXY,364,51957,0.09728704,157.34826,1.1629616,1237648722831409299,42.29914,135.596,43.2293,65.78917,0.3482963,9.440677,21.67616,32.16797,21.70437,12.69839,38.30127,1.4820964626017707,0.6570883931200227,62.23482707108861,3.0162304040118473
27,273,GALAXY,374,51957,0.05115105,157.39456,0.80530713,1237648722294603919,20.30684,86.39567,44.29399,33.36925,6.323778,14.41794,44.14038,28.11915,19.26173,25.11832,75.76264,1.4598455071273453,1.3273894378806836,6.980064765081886,3.0162303848346546
28,273,GALAXY,378,51957,0.3186841,157.35038,0.74014558,1237648722294538940,8.987803,41.46626,15.56803,4.431254,0.655965,5.291702,27.18788,7.998914,35.91422,0.04628462,0.1396051,0.22272275438531033,3.513233500043103,41.447150381499014,3.016230877557167
29,273,GALAXY,385,51957,0.09638181,157.46493,0.5007956,1237654670812578105,28.35634,135.2097,22.19829,23.12377,1.041152,13.33632,25.98506,29.66329,19.66015,11.84606,35.73045,1.5088028321248819,0.9599771144584123,24.957988843127612,3.0162307129965575
30,273,GALAXY,386,51957,0.03501128,157.444,0.1455754,1237651801237356677,95.97726,310.1799,140.4766,170.923,1.053435,43.24318,124.0324,63.25395,44.39665,18.49909,55.79752,1.4247460112418393,0.8218706669084909,117.74091424720083,3.016230528096247
31,273,GALAXY,388,51957,0.1470157,157.44635,0.45089975,1237654670812577877,-20.36734,42.06163,27.68522,14.59628,2.561002,4.736308,12.17098,11.92705,3.672428,6.13048,18.49094,3.247728750570467,1.896731221927779,4.752428932113291,3.016230376740483
32,273,GALAXY,398,51957,0.09461677,157.21948,0.45718266,1237654670812512407,34.86955,180.7964,2.757463,53.14936,8.383387,2.22502,12.70784,37.68548,28.67452,31.92731,96.30013,1.3142497241453386,0.05188139612593642,1.5158360218847104,3.016230618865166
33,273,GALAXY,402,51957,0.05075456,157.57832,1.2472466,1237648722831540344,142.1641,581.5748,134.6091,147.043,4.087618,22.36563,85.98173,116.8682,88.30135,51.62274,155.7061,1.3235154388919308,0.915440381385037,21.03467838726613,3.016230831606381
34,273,GALAXY,406,51957,0.1308496,157.66674,1.0205886,1237651752389902504,82.30443,445.6085,53.3524,75.28671,1.686615,2.703605,37.11977,80.35565,52.93819,55.27906,166.7344,1.5179145716920053,0.7086562820981287,22.008442946374842,3.0162307390899916
35,273,GALAXY,410,51957,0.09744141,157.68526,1.2465696,1237648722831605874,22.97032,79.07632,10.64291,15.63633,1.034456,0.9986165,5.325668,14.48377,10.55645,8.262386,24.92126,1.3720303700581162,0.6806526851249622,5.148278902147602,3.0162304206073163
36,273,GALAXY,413,51957,0.02889339,157.6012,0.63711293,1237648722294669392,398.5452,1404.987,399.5558,419.6791,3.49221,78.61741,229.5169,281.4323,196.3701,126.5519,381.7099,1.433172871022625,0.9520507454385981,65.72253673175439,3.016232075535808
37,273,GALAXY,421,51957,0.0288725,157.77168,0.54082816,1237651801774358588,24.14788,63.14523,24.94274,32.3127,1.175034,1.747414,10.27771,15.811,12.36621,5.326223,16.06512,1.2785647340616082,0.7719175432569857,8.746734137054759,3.0162312017352635
38,273,GALAXY,422,51957,0.09454829,157.75153,0.57529729,1237651801774358737,39.95542,206.2772,27.50921,28.03868,0.6349055,4.419096,9.893376,38.06374,24.31906,24.87481,75.02817,1.5651813844778542,0.9811164434274366,15.582438646381233,3.016230877743388
39,273,GALAXY,423,51957,0.09711879,157.76166,0.39032559,1237648721757864179,44.45887,168.4549,16.46959,11.15552,5.296514,2.520972,10.8175,28.64375,12.48878,17.54184,52.91024,2.293558698287583,1.476362374860159,2.04238108310485,3.0162309085021866
40,273,GALAXY,428,51957,0.02840719,157.74521,0.49884872,1237654670812709029,225.2477,716.8665,251.3044,279.8703,16.4699,338.982,1052.379,75.74384,52.12815,12.85765,38.78164,1.4530314235206891,0.8979316490531507,63.89710927206601,3.016230804229389
41,273,GALAXY,429,51957,0.1467734,157.65721,0.49108608,1237654670812709076,18.84826,67.51508,12.73903,15.33895,2.219287,3.030899,4.260424,17.44871,6.291279,9.847748,29.70308,2.7734757908527023,0.8305020878221782,1.919726470708836,3.016230715895655
42,273,GALAXY,434,51957,0.09692178,157.79358,0.48881581,1237654670812774508,27.79864,121.5002,23.6656,17.23759,6.834423,20.74388,83.19609,35.09478,24.0892,18.68179,56.34859,1.4568678079803397,1.3729065373987894,12.1730963974574,3.016230778742294
43,273,GALAXY,436,51957,0.1096851,157.5458,0.010490547,1237654670275772567,170.7632,890.5579,109.5509,107.7044,6.601747,19.03272,54.1951,149.5631,117.8755,123.4433,372.3336,1.2688226136898677,1.0171441463858486,8.209205835970387,3.016231743642628
44,273,GALAXY,437,51957,0.117737,157.70253,0.40302253,1237648721757864130,1.551863,17.28226,0.2122971,17.25678,3.618606,1.862015,2.781628,6.698071,4.501277,2.760719,8.326966,1.4880379501194883,0.012302242944512244,0.7687015386588094,3.016230916656132
45,273,GALAXY,440,51957,0.02834717,157.76982,0.10848143,1237651801237487897,28.83916,88.84766,63.03017,65.68369,1.615421,16.77374,54.33882,20.94125,11.72035,2.999048,9.045823,1.7867427167277428,0.9596015388295024,33.63755949687419,3.016231484124295
46,273,GALAXY,442,51957,0.1036107,158.0066,1.0447078,1237651752390099062,259.3556,951.7054,237.6218,269.2558,9.902314,391.9731,1185.37,63.49559,51.00137,24.0768,72.62118,1.244978125097424,0.8825132086291176,119.7063635832998,3.016230562200957
47,273,GALAXY,448,51957,0.09558981,157.8636,0.76846837,1237648722294800545,26.02056,118.241,12.78858,18.22949,3.493321,9.563856,2.589153,14.14815,12.88558,17.69208,53.36341,1.0979831718867137,0.7015325168175304,0.7411723686429046,3.016231556719165
48,273,GALAXY,454,51957,0.09942333,157.73746,0.74698807,1237648722294734997,84.99776,349.1579,63.81515,38.75403,0.8826462,9.37354,20.19925,71.89713,42.55501,51.79065,156.2126,1.6895103537750313,1.6466713268271713,22.88487731550875,3.016231694330927
49,273,GALAXY,458,51957,0.09899052,157.75874,0.76738205,1237648722294735005,192.3689,626.941,232.3402,356.1015,7.144127,101.5983,292.0198,117.2992,76.66457,31.73417,95.71758,1.5300314082502517,0.6524549882547532,40.87550515269395,3.016230769545887
50,273,GALAXY,461,51957,0.0286682,157.89649,0.47537546,1237654670812774584,162.4221,745.6865,378.9797,255.4949,27.28443,317.5067,926.4807,272.7917,228.1953,296.5261,894.3911,1.1954308436676828,1.483316105331261,33.95638831377456,3.016230611740417
51,273,GALAXY,462,51957,0.02863529,157.84528,0.25899332,1237648721757929589,33.45605,110.825,53.90009,75.34615,0.114038,13.23587,51.20443,24.89843,16.70362,4.529253,13.66127,1.4906008398179555,0.7153662131376322,449.01199600133293,3.0162302702012895
52,273,GALAXY,464,51957,0.02836903,157.94053,0.38794872,1237648721757929562,1222.833,4317.115,1221.277,1162.395,4.10948,227.0031,679.0068,694.3884,489.7947,459.3426,1385.483,1.417713176561527,1.0506557581545,165.22937208600604,3.016230151525245
53,273,GALAXY,467,51957,0.02851265,157.99793,0.2756811,1237648721757995340,13.17368,41.33537,33.56475,30.527,0.5266562,7.173128,24.15701,9.981989,6.195202,1.883127,5.679947,1.6112451216279955,1.0995102695974055,45.86865207321208,3.0162315127975967
54,273,GALAXY,469,51957,0.02886155,157.85512,0.43876357,1237654670812774549,46.90781,160.9104,58.38546,58.50305,2.351984,9.910199,29.42087,44.54912,29.5334,13.62871,41.10733,1.5084318094090081,0.9979900193237788,12.508958394274792,3.0162304429399405
55,273,GALAXY,473,51957,0.02876168,157.99877,0.22866509,1237648721757995234,38.81157,124.9978,51.82799,86.51226,1.335286,33.10191,96.54295,26.22003,13.53547,4.338762,13.08671,1.9371348021162176,0.5990826040147373,72.30132720630637,3.016231358161614
56,273,GALAXY,476,51957,0.02859859,157.86636,0.22527381,1237648721757929604,56.8031,174.6744,136.5973,154.6323,0.8894109,37.45531,116.5354,34.87595,24.19949,6.294109,18.98449,1.4411853307652351,0.8833684812293421,131.02537870853618,3.016231526972285
57,273,GALAXY,477,51957,0.02849584,157.83991,0.23112179,1237648721757929485,50.28488,268.0157,53.55786,69.60114,3.764058,15.83331,33.3969,72.21324,53.93335,48.59168,146.5637,1.3389348149150757,0.7694968789304313,8.872578477802415,3.0162303505456083
58,273,GALAXY,480,51957,0.09655832,157.93559,0.21288614,1237648721757929654,109.8357,394.9946,84.67683,98.66476,6.289281,12.54052,32.3434,67.29556,53.21474,42.05053,126.8341,1.2646037545236526,0.8582276995352748,5.1426228212732115,3.016230711004118
59,273,GALAXY,482,51957,0.09487927,158.09017,0.59955507,1237654670812905581,40.09116,187.1965,49.99753,39.83408,5.083005,9.522596,36.05551,43.29219,31.28746,31.33177,94.50384,1.3836914214193161,1.2551445897583173,7.093345373455269,3.0162304906489483
60,273,GALAXY,488,51957,0.2284444,158.14569,0.37456898,1237648721758060659,41.84928,199.0837,18.35884,26.53074,2.779765,1.285879,10.14393,32.5986,22.39089,21.12443,63.71617,1.4558867467974699,0.6919837139861157,3.649204159344405,3.016231443878012
61,273,GALAXY,498,51957,0.07216842,158.23911,0.040075137,1237654670276100134,166.509,755.3029,91.24017,90.50167,2.115746,19.51904,47.05968,109.7598,80.52847,125.4843,378.4895,1.362993733768939,1.0081600704163802,22.24259433788366,3.0162299188025914
62,273,GALAXY,499,51957,0.06533257,158.00267,0.26036548,1237648721757995239,9.052184,16.14425,4.731609,1.267188,1.372121,3.161373,10.93209,6.719125,6.635544,6.050467,18.2496,1.0125959529467365,3.733943976742204,7.967292971975504,3.0162299868753935
63,273,GALAXY,500,51957,0.1284542,158.11444,0.50086668,1237654670812905677,173.6604,596.5327,197.0758,178.4214,8.611846,217.6476,637.9993,65.05355,44.41303,23.36773,70.48248,1.464740189984786,1.104552480812279,74.0839188253018,3.0162313583732776
64,273,GALAXY,508,51957,0.03250533,158.31342,0.00084278358,1237654670276100252,44.59576,136.9415,63.18346,71.37773,0.8055921,27.31156,78.57625,24.88773,21.10382,7.343596,22.14998,1.179299766582543,0.8851985065930228,97.53850614970032,3.016230740362079
65,273,GALAXY,512,51957,0.1607156,158.39212,0.033318518,1237654670276165946,7.293781,21.46943,15.12257,2.108652,2.311387,1.046593,3.988641,14.39517,2.769091,5.622562,16.95895,5.198518214099861,7.171676502334192,1.7256482795827788,3.016231746310668
66,273,GALAXY,517,51957,0.0558084,158.45503,0.16152057,1237654670276165801,59.92154,173.7873,86.0767,154.1322,0.8397411,30.16829,92.20143,46.55462,28.19915,9.231944,27.84568,1.6509228115031835,0.5584602049409533,109.79744828495355,3.0162314676085558
67,273,GALAXY,526,51957,0.06574766,158.38811,1.1097677,1237648722831868077,166.1362,1235.921,88.08178,98.84331,4.788113,13.65135,58.02657,219.1323,174.847,194.5016,586.6617,1.2532802964877863,0.8911253579023203,12.118880652983753,3.0162307148116008
68,273,GALAXY,527,51957,0.160743,158.39167,1.0116666,1237651752390230161,13.4322,29.34767,8.680213,15.65745,2.264214,11.40507,16.4263,8.808307,6.071076,9.307425,28.07334,1.4508642290098164,0.5543822908583453,7.254747121959321,3.0162305900933934
69,273,GALAXY,531,51957,0.02824007,158.13885,0.93487095,1237654671349776494,107.7103,342.1096,154.1146,205.0042,0.9054168,93.81161,282.7946,51.67223,40.94847,9.061624,27.33195,1.2618842657613336,0.7517631346089495,312.3363737010402,3.0162308654607606
70,273,GALAXY,541,51957,0.1173905,158.58042,0.3670403,1237648721758257266,4.310802,11.2065,6.50605,9.385328,2.308781,3.703295,7.02332,5.22055,4.989007,1.187738,3.582491,1.0464106384296514,0.6932149840687508,3.0420035507915215,3.016230010322142
71,273,GALAXY,545,51957,0.1059531,158.56789,0.60359146,1237654670813102210,16.78987,86.18664,21.38589,8.638018,2.270903,3.702034,10.76657,10.92234,13.56491,17.37371,52.40312,0.8051907458287597,2.475786690882098,4.741096383244902,3.01623084534046
72,273,GALAXY,560,51957,0.06492368,158.53605,0.001040409,1237654670276165939,27.00187,118.527,28.01767,27.96796,1.487152,5.053722,15.18841,22.50179,16.01709,21.67392,65.37355,1.4048613075159095,1.001777390985971,10.213085145297857,3.01623102788974
73,273,GALAXY,561,51957,0.1314112,158.54355,1.0058106,1237651752390295637,39.12248,140.3955,17.46803,37.09464,0.04710501,2.625917,15.18025,24.82489,15.8955,21.7016,65.45704,1.561755842848605,0.47090442177090813,322.2640224468692,3.0162310613042362
74,273,GALAXY,567,51957,0.1166529,158.53201,0.89346924,1237654671349907665,12.80743,52.64739,4.931735,5.361929,4.004496,4.694046,5.364119,9.722856,1.384498,6.259842,18.88113,7.022658032008714,0.919768799624165,1.339524124883631,3.016231080592769
75,273,GALAXY,568,51957,0.1304132,158.51031,0.94697739,1237654671349907524,12.17497,54.57666,12.61914,3.80799,0.6380294,2.919285,4.911172,8.223516,12.09016,9.888805,29.82692,0.6801825616865286,3.313858492275452,7.697407047386845,3.016230980386407
76,273,GALAXY,578,51957,0.1017605,158.61153,0.67054285,1237648722295128185,15.48752,68.07116,3.612489,5.692038,2.152104,3.291938,3.394057,10.95715,5.598812,7.522177,22.68862,1.9570491025596146,0.6346565149424512,1.5770878173173788,3.0162305407065
77,273,QSO,579,51957,0.1312082,158.46913,0.73426859,1237648722295062726,236.3433,1503.126,97.13781,52.07643,47.87922,442.8425,1514.475,127.2552,127.3958,271.0067,817.4189,0.9988963529409919,1.8652931854199684,31.631154392239473,3.0162313330260835
78,273,GALAXY,580,51957,0.1302869,158.47442,1.1175462,1237648722831933523,40.46349,192.2312,16.68087,35.16637,2.869691,6.624302,17.76097,33.7913,17.81033,25.60334,77.22557,1.897286574701311,0.4743415370992229,6.189157647983703,3.0162303043274825
79,273,GALAXY,581,51957,0.03245551,158.70464,0.59256107,1237654670813167821,27.92737,101.009,45.48889,47.97579,0.5230076,17.35228,50.66758,16.28673,12.35683,3.407345,10.27734,1.3180346415706938,0.9481634382675094,96.87733027206488,3.0162311124937453
80,273,GALAXY,583,51957,0.06472252,158.6831,0.16292412,1237654670276231237,117.4605,463.023,94.29077,112.3773,7.375341,214.5224,664.335,98.55892,81.23889,53.38033,161.0074,1.2131987524694146,0.8390553074330848,90.07515720290087,3.0162308850469826
81,273,GALAXY,587,51957,0.1093589,158.95203,0.58348942,1237654670813233302,8.137123,31.8439,18.82849,15.12535,0.7063705,7.297674,24.32542,16.33604,15.29144,14.85164,44.79599,1.0683127292132069,1.2448300369908796,34.437196910120115,3.0162318774222916
